Date,NVDA,SPY
2024-06-05,122.3709487915039,521.9668579101562
2024-06-06,120.92974853515625,521.9571533203125
2024-06-07,120.81981658935547,521.3225708007812
2024-06-10,121.72129821777344,522.933349609375
2024-06-11,120.85174560546875,524.1928100585938
2024-06-12,125.13965606689453,528.4978637695312
2024-06-13,129.5475311279297,529.56201171875
2024-06-14,131.8164520263672,529.8842163085938
2024-06-17,130.91688537597656,534.1015625
2024-06-18,135.5146484375,535.4585571289062
2024-06-20,130.71697998046875,534.00390625
2024-06-21,126.50899505615234,533.2880249023438
2024-06-24,118.05307006835938,531.554443359375
2024-06-25,126.02922821044922,533.6015014648438
2024-06-26,126.3390884399414,534.2674560546875
2024-06-27,123.93023681640625,535.1096801757812
2024-06-28,123.48046112060547,533.0039672851562
2024-07-01,124.2401123046875,534.1009521484375
2024-07-02,122.61087799072266,537.6953735351562
2024-07-03,128.21817016601562,540.0947875976562
2024-07-05,125.76936340332031,543.2093505859375
2024-07-08,128.13819885253906,543.8360595703125
2024-07-09,131.3166961669922,544.3649291992188
2024-07-10,134.84500122070312,549.7515869140625
2024-07-11,127.33860778808594,545.0113525390625
2024-07-12,129.17771911621094,548.4490966796875
2024-07-15,128.37811279296875,549.9573364257812
2024-07-16,126.29910278320312,553.2185668945312
2024-07-17,117.93313598632812,545.4618530273438
2024-07-18,121.03163146972656,541.27001953125
2024-07-19,117.87316131591797,537.67578125
2024-07-22,123.48046112060547,543.218994140625
